district_bps_name,district_bps_code,district_kemendagri_name,district_kemendagri_code,subdistrict_bps_name,subdistrict_bps_code,village_bps_name,village_bps_code,transportation_level,slums_level,popdes_level,poi_level,cases_level,potency_level,risk_level,last_updated
Bogor,3201,Kab. Bogor,32.01,Nanggung,3201010,Malasari,3201010001,red,green,yellow,yellow,yellow,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Nanggung,3201010,Bantar Karet,3201010002,red,green,yellow,yellow,red,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Nanggung,3201010,Cisarua,3201010003,red,green,yellow,yellow,orange,orange,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Nanggung,3201010,Curug Bitung,3201010004,red,green,yellow,yellow,red,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Nanggung,3201010,Nanggung,3201010005,red,green,yellow,yellow,red,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Nanggung,3201010,Pangkal Jaya,3201010006,red,green,yellow,yellow,red,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Nanggung,3201010,Sukaluyu,3201010007,red,green,yellow,yellow,red,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Nanggung,3201010,Hambaro,3201010008,red,green,yellow,yellow,red,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Nanggung,3201010,Kalong Liud,3201010009,red,green,yellow,yellow,red,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Nanggung,3201010,Parakan Muncang,3201010010,red,green,yellow,yellow,yellow,orange,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Nanggung,3201010,Batu Tulis,3201010011,red,green,yellow,yellow,red,orange,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Leuwiliang,3201020,Purasari,3201020001,red,green,yellow,yellow,yellow,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Leuwiliang,3201020,Puraseda,3201020002,red,green,yellow,yellow,red,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Leuwiliang,3201020,Karyasari,3201020003,red,green,yellow,yellow,orange,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Leuwiliang,3201020,Pabangbon,3201020004,orange,green,yellow,yellow,orange,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Leuwiliang,3201020,Karacak,3201020005,red,yellow,yellow,orange,yellow,orange,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Leuwiliang,3201020,Barengkok,3201020006,red,green,yellow,yellow,orange,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Leuwiliang,3201020,Cibeber Ii,3201020007,red,green,yellow,yellow,red,yellow,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Leuwiliang,3201020,Cibeber I,3201020016,red,green,yellow,yellow,yellow,orange,yellow,2022-04-26T00:00:00.000Z
Bogor,3201,Kab. Bogor,32.01,Leuwiliang,3201020,Leuwimekar,3201020017,red,green,yellow,yellow,red,orange,yellow,2022-04-26T00:00:00.000Z
